exp_id,seed,k_eval,gen,id,t_spin,h_anchor,h_guard,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14
HITL,2,40,1,87,0.0356516,5,5,0.289237,0.402778,0.236013,0.160146,0.218567,0.197374,0.29957,0.296661,0.274662,0.217659,0.22539,0.232739,0.233854,0.177313,0.180192,0.255921,0.276924,0.293927
HITL,2,40,1,88,0.0169661,5,5,0.133235,0.402778,0.236013,0.264127,0.233225,0.162837,0.16283,0.172887,0.255927,0.191724,0.213488,0.172863,0.185523,0.205628,0.242015,0.296656,0.169078,0.193991
HITL,2,40,1,89,0.00447889,5,5,0.0289808,0.402778,0.236013,0.299491,0.282469,0.293328,0.229372,0.185366,0.18022,0.270581,0.289712,0.242535,0.252962,0.282554,0.188604,0.237221,0.234998,0.288434
HITL,2,40,1,90,0.00289055,5,5,0.0157201,0.402778,0.236013,0.198565,0.1707,0.165566,0.192466,0.159748,0.195952,0.236776,0.216892,0.246786,0.22861,0.263524,0.217885,0.266063,0.22108,0.258932
HITL,2,40,1,91,0.00473279,5,5,0.0311006,0.402778,0.236013,0.266249,0.278151,0.174163,0.258496,0.151647,0.20999,0.234841,0.154426,0.155759,0.18589,0.20327,0.255067,0.17859,0.209435,0.285799
HITL,2,40,1,92,0.011288,5,5,0.0858291,0.402778,0.236013,0.198396,0.264851,0.237838,0.157995,0.295913,0.166544,0.20126,0.292786,0.186488,0.292399,0.249076,0.178835,0.171187,0.297307,0.217246
HITL,2,40,1,93,0.0119716,5,5,0.0915365,0.402778,0.236013,0.259575,0.169913,0.226017,0.164183,0.224421,0.151473,0.156268,0.287109,0.283437,0.265886,0.229431,0.174953,0.260731,0.182115,0.158702
HITL,2,40,1,94,0.00885806,5,5,0.0655419,0.402778,0.236013,0.197352,0.237829,0.237274,0.274687,0.208792,0.172443,0.155961,0.179702,0.290133,0.155583,0.245739,0.21547,0.178057,0.251054,0.239224
HITL,2,40,1,95,0.0345587,5,5,0.280112,0.402778,0.236013,0.160027,0.249587,0.16146,0.183561,0.235445,0.257448,0.236747,0.28465,0.255057,0.295504,0.191149,0.297724,0.179184,0.178897,0.178467
HITL,2,40,1,96,0.0404905,5,5,0.329636,0.402778,0.236013,0.167708,0.243831,0.150679,0.271136,0.239856,0.19543,0.283629,0.276424,0.244758,0.161348,0.294725,0.242795,0.284097,0.174448,0.154076
HITL,2,40,1,97,0.0161665,5,5,0.126558,0.402778,0.236013,0.194881,0.267555,0.273506,0.283417,0.202885,0.272716,0.173253,0.232436,0.157596,0.258001,0.204301,0.166182,0.249741,0.213901,0.197892
HITL,2,40,1,98,0.0223954,5,5,0.178563,0.402778,0.236013,0.204748,0.264743,0.211188,0.282113,0.172903,0.208047,0.280368,0.239577,0.258731,0.276077,0.228764,0.168488,0.198485,0.189755,0.173298
HITL,2,40,1,99,0.0076556,5,5,0.0555027,0.402778,0.236013,0.240811,0.18206,0.27926,0.218263,0.270379,0.276953,0.249033,0.272841,0.268423,0.236891,0.199088,0.21184,0.195536,0.222591,0.210409
HITL,2,40,2,0,0.120785,4.75,4.75,0.549872,0.380417,0.205861,0.163354,0.257519,0.183617,0.219816,0.239093,0.250893,0.212211,0.191865,0.283917,0.246641,0.187204,0.265214,0.230521,0.212965,0.164609
HITL,2,40,2,1,0.0854038,4.75,4.75,0.387158,0.380417,0.205861,0.183991,0.264462,0.24941,0.215149,0.236366,0.211529,0.155884,0.263231,0.269353,0.290268,0.228162,0.159989,0.288999,0.187659,0.169775
HITL,2,40,2,2,0.0816512,4.75,4.75,0.3699,0.380417,0.205861,0.170561,0.201206,0.172198,0.192176,0.210068,0.221008,0.190477,0.160197,0.231084,0.245008,0.248392,0.154302,0.165879,0.25024,0.165386
HITL,2,40,2,3,0.065056,4.75,4.75,0.29358,0.380417,0.205861,0.194477,0.176359,0.161886,0.179835,0.214438,0.246272,0.163107,0.25736,0.165262,0.17634,0.256998,0.28279,0.297471,0.247936,0.22166
HITL,2,40,2,4,0.0591849,4.75,4.75,0.266579,0.380417,0.205861,0.159173,0.205916,0.215116,0.29608,0.25473,0.243868,0.173392,0.215264,0.205685,0.29106,0.217923,0.278265,0.248042,0.281893,0.1505
HITL,2,40,2,5,0.00347114,4.75,4.75,0.0103559,0.380417,0.205861,0.199877,0.166772,0.212012,0.170958,0.204583,0.166139,0.207486,0.230654,0.161177,0.188528,0.213982,0.190896,0.234469,0.271671,0.267374
HITL,2,40,2,6,0.0409285,4.75,4.75,0.182619,0.380417,0.205861,0.181282,0.179799,0.233713,0.20501,0.157028,0.184745,0.294674,0.295511,0.203516,0.156266,0.269981,0.192099,0.157773,0.186679,0.172839
HITL,2,40,2,7,0.00121933,4.75,4.75,0,0.380417,0.205861,0.286489,0.179238,0.262401,0.171223,0.161451,0.20572,0.241518,0.229702,0.27621,0.215458,0.241749,0.158943,0.261785,0.254281,0.271788
HITL,2,40,2,8,0.0152005,4.75,4.75,0.0642984,0.380417,0.205861,0.165633,0.219298,0.248136,0.151246,0.277679,0.273108,0.226947,0.201898,0.259357,0.283449,0.22417,0.282783,0.172165,0.19962,0.257677
HITL,2,40,2,9,0.0686283,4.75,4.75,0.310009,0.380417,0.205861,0.20399,0.228362,0.248218,0.238385,0.214229,0.171078,0.211697,0.183951,0.27188,0.268506,0.182318,0.237461,0.248996,0.214179,0.162886
HITL,2,40,2,10,0.00720006,4.75,4.75,0.0275049,0.380417,0.205861,0.258867,0.162799,0.252186,0.162054,0.238657,0.191584,0.21062,0.297885,0.292542,0.236627,0.253311,0.270739,0.257857,0.169532,0.218656
HITL,2,40,2,11,0.0101296,4.75,4.75,0.0409777,0.380417,0.205861,0.275035,0.262165,0.185656,0.279437,0.241924,0.192877,0.158597,0.26131,0.215203,0.296153,0.189705,0.160291,0.187154,0.210602,0.15556
HITL,2,40,2,12,0.00344878,4.75,4.75,0.0102531,0.380417,0.205861,0.208207,0.1865,0.298538,0.175724,0.276653,0.17519,0.236913,0.248869,0.230237,0.291968,0.214815,0.24762,0.280485,0.185096,0.231295
HITL,2,40,2,13,0.0389736,4.75,4.75,0.173629,0.380417,0.205861,0.297627,0.2642,0.255972,0.208736,0.277683,0.276026,0.215698,0.235594,0.251883,0.268326,0.216831,0.199754,0.170985,0.258253,0.262069
HITL,2,40,2,14,0.0092368,4.75,4.75,0.0368717,0.380417,0.205861,0.178896,0.278587,0.174441,0.274047,0.169345,0.246324,0.22796,0.170072,0.257294,0.265081,0.283618,0.223847,0.227695,0.24818,0.286024
HITL,2,40,2,15,0.0375146,4.5125,2.36991,0.166919,0.262757,0.205861,0.186958,0.225557,0.217651,0.272131,0.25272,0.226544,0.298744,0.197089,0.211703,0.286915,0.206865,0.229237,0.244887,0.239253,0.156394
HITL,2,40,2,16,0.0494545,4.5125,2.19491,0.22183,0.254882,0.205861,0.177438,0.210177,0.186796,0.182746,0.204889,0.203743,0.173362,0.185853,0.220043,0.249648,0.197139,0.151912,0.169298,0.26334,0.198843
HITL,2,40,2,17,0.0292124,4.5125,2.32787,0.128738,0.260865,0.205861,0.204516,0.186382,0.180508,0.183072,0.191515,0.223766,0.269956,0.15,0.208066,0.227297,0.182401,0.255535,0.227434,0.231637,0.172089
HITL,2,40,2,18,0.0138536,4.5125,2.9543,0.0581041,0.289055,0.205861,0.17541,0.22592,0.228547,0.218233,0.241115,0.216761,0.296268,0.196471,0.178241,0.248642,0.159345,0.243382,0.241276,0.3,0.151205
