exp_id,seed,k_eval,gen,id,t_spin,h_score,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19
noHITL,1,0,2,25,0.0115289,,0.533565,0,0.479528,0.213664,0.4,0.282653,0.31021,0.253715,0.238464,0.151978,0.117743,0.290174,0.268748,0.217256,0.384131,0.238133,0.207775,0.26952,0.278064,0.4,0.394221,0.354729,0.144267
noHITL,1,0,2,26,0.00681334,,0.0178741,0,0.479528,0.170564,0.308132,0.25885,0.296105,0.189983,0.209068,0.157652,0.149689,0.276139,0.175364,0.246579,0.251227,0.263976,0.121422,0.263399,0.291315,0.394529,0.280098,0.362822,0.111158
noHITL,1,0,2,27,0.0123142,,0.619439,0,0.479528,0.335441,0.392129,0.20019,0.288536,0.387505,0.241681,0.128441,0.1,0.319954,0.4,0.256821,0.300501,0.4,0.128512,0.2246,0.271387,0.210471,0.343823,0.265908,0.233879
noHITL,1,0,2,28,0.00968431,,0.331841,0,0.479528,0.227616,0.340796,0.263399,0.307193,0.315557,0.279724,0.29702,0.160332,0.173086,0.343682,0.239858,0.20629,0.336452,0.227373,0.3106,0.2605,0.310505,0.258961,0.150591,0.20574
noHITL,1,0,2,29,0.0109095,,0.465822,0,0.479528,0.179478,0.309388,0.226018,0.340577,0.319651,0.301561,0.1,0.316111,0.235462,0.364891,0.243328,0.173472,0.370813,0.260769,0.117434,0.267838,0.351307,0.224174,0.331851,0.180187
noHITL,1,0,2,30,0.00867626,,0.221602,0,0.479528,0.204599,0.264426,0.128315,0.212305,0.321215,0.320923,0.159248,0.128254,0.183365,0.343178,0.140486,0.191487,0.359757,0.30967,0.155585,0.154923,0.281723,0.386016,0.280889,0.304239
noHITL,1,0,2,31,0.0109871,,0.474317,0,0.479528,0.331705,0.303248,0.4,0.289619,0.236133,0.223182,0.210849,0.160207,0.4,0.153861,0.221587,0.347044,0.197185,0.18108,0.168219,0.269087,0.264072,0.4,0.4,0.151592
noHITL,1,0,2,32,0.011113,,0.488084,0,0.479528,0.343107,0.356243,0.225706,0.376318,0.268179,0.295585,0.136951,0.169309,0.190141,0.217744,0.106982,0.36256,0.355285,0.122038,0.223561,0.388675,0.360737,0.294026,0.128673,0.308449
noHITL,1,0,2,33,0.0119772,,0.582584,0,0.479528,0.198539,0.382657,0.372434,0.202916,0.332242,0.235034,0.178429,0.218508,0.352479,0.4,0.163063,0.102606,0.380048,0.166572,0.257814,0.304752,0.323844,0.324089,0.327516,0.124871
noHITL,1,0,2,34,0.012875,,0.680767,0,0.479528,0.346993,0.367703,0.218903,0.278164,0.307173,0.221684,0.170587,0.1,0.295861,0.364111,0.149236,0.268028,0.382687,0.196779,0.313776,0.137853,0.314572,0.365323,0.349441,0.366881
